hotel_id,stars,neighbourhood,price,rating_count,rating,log_price
21894,4.0,Hernals,81,36.0,4.4,4.394449154672439
21897,4.0,Hernals,81,189.0,3.9,4.394449154672439
21901,4.0,Alsergrund,85,53.0,3.7,4.442651256490317
21902,3.0,Alsergrund,83,55.0,4.0,4.418840607796598
21903,4.0,Alsergrund,82,33.0,3.9,4.406719247264253
21904,5.0,Alsergrund,229,25.0,4.8,5.43372200355424
21906,4.0,Alsergrund,103,57.0,3.9,4.634728988229636
21907,4.0,Alsergrund,150,161.0,4.6,5.0106352940962555
21908,2.0,Alsergrund,80,50.0,3.5,4.382026634673881
21912,4.0,Alsergrund,60,203.0,4.1,4.0943445622221
21913,4.0,Alsergrund,128,251.0,4.0,4.852030263919617
21914,4.0,Alsergrund,100,142.0,4.5,4.605170185988092
21917,4.0,Alsergrund,85,18.0,4.1,4.442651256490317
21918,3.0,Alsergrund,77,20.0,3.7,4.343805421853684
21919,3.0,Alsergrund,78,77.0,3.9,4.356708826689592
21920,3.0,Alsergrund,78,76.0,4.0,4.356708826689592
21924,3.0,Donaustadt,77,77.0,3.9,4.343805421853684
21925,3.0,Donaustadt,77,193.0,2.7,4.343805421853684
21926,4.0,Donaustadt,95,94.0,4.3,4.553876891600541
21930,4.0,Donaustadt,208,178.0,4.1,5.337538079701318
21933,3.0,Donaustadt,87,330.0,3.7,4.465908118654584
21935,3.0,Favoriten,54,194.0,3.5,3.9889840465642745
21940,3.5,Favoriten,99,441.0,4.4,4.59511985013459
21941,3.5,Favoriten,75,1122.0,4.4,4.31748811353631
21943,3.0,Favoriten,76,362.0,4.4,4.330733340286331
21946,4.0,Favoriten,91,525.0,4.5,4.51085950651685
21948,2.0,Favoriten,56,113.0,2.0,4.02535169073515
21949,2.0,Favoriten,27,71.0,3.7,3.295836866004329
21956,2.0,Favoriten,33,366.0,3.4,3.4965075614664802
21959,4.0,Favoriten,71,821.0,4.0,4.2626798770413155
21964,3.0,Fischamend,59,366.0,3.0,4.07753744390572
21965,3.0,Graben,113,77.0,4.4,4.727387818712341
21967,5.0,Graben,299,144.0,4.5,5.700443573390687
21968,3.0,Innere Stadt,156,184.0,4.5,5.049856007249537
21969,5.0,Innere Stadt,513,78.0,4.8,6.240275845170769
21970,4.0,Innere Stadt,133,319.0,4.3,4.890349128221754
21971,4.0,Innere Stadt,123,73.0,4.1,4.812184355372417
21972,4.0,Innere Stadt,219,81.0,4.5,5.389071729816501
21973,4.0,Innere Stadt,152,271.0,4.3,5.0238805208462765
21975,4.0,Innere Stadt,115,211.0,4.3,4.74493212836325
21977,4.0,Innere Stadt,138,316.0,4.5,4.927253685157205
21980,4.0,Innere Stadt,146,336.0,4.4,4.983606621708336
21981,3.0,Innere Stadt,103,83.0,4.0,4.634728988229636
21984,3.0,Innere Stadt,98,88.0,3.7,4.584967478670572
21985,3.5,Innere Stadt,121,140.0,4.5,4.795790545596741
21986,4.0,Innere Stadt,149,391.0,4.0,5.003946305945459
21987,3.0,Innere Stadt,120,320.0,3.9,4.787491742782046
21988,3.0,Innere Stadt,157,21.0,4.4,5.056245805348308
21989,5.0,Innere Stadt,261,193.0,4.8,5.564520407322694
21990,3.5,Innere Stadt,145,75.0,4.1,4.976733742420574
21991,4.0,Innere Stadt,275,35.0,4.3,5.616771097666572
21995,4.0,Innere Stadt,112,505.0,4.0,4.718498871295094
21996,4.0,Innere Stadt,138,386.0,4.3,4.927253685157205
21997,3.0,Innere Stadt,84,109.0,4.0,4.430816798843313
21998,4.5,Innere Stadt,199,626.0,4.5,5.293304824724492
21999,5.0,Innere Stadt,203,334.0,4.4,5.313205979041787
22005,3.5,Innere Stadt,168,11.0,4.0,5.123963979403259
22006,5.0,Innere Stadt,544,150.0,4.8,6.298949246855942
22007,5.0,Innere Stadt,252,531.0,4.6,5.529429087511423
22008,5.0,Innere Stadt,323,253.0,4.5,5.777652323222656
22009,3.0,Innere Stadt,158,47.0,4.3,5.062595033026967
22011,4.0,Innere Stadt,218,124.0,4.6,5.384495062789089
22012,4.0,Innere Stadt,218,115.0,4.5,5.384495062789089
22013,3.0,Innere Stadt,135,110.0,3.9,4.90527477843843
22016,4.0,Innere Stadt,179,467.0,4.4,5.187385805840755
22018,4.0,Innere Stadt,157,650.0,4.5,5.056245805348308
22019,4.0,Innere Stadt,146,95.0,4.5,4.983606621708336
22020,5.0,Innere Stadt,200,564.0,4.3,5.298317366548036
22021,4.0,Innere Stadt,157,168.0,4.1,5.056245805348308
22023,3.0,Innere Stadt,108,175.0,3.5,4.68213122712422
22026,4.0,Innere Stadt,127,426.0,4.0,4.844187086458591
22028,4.0,Innere Stadt,163,148.0,4.1,5.093750200806762
22029,4.0,Innere Stadt,116,163.0,4.5,4.7535901911063645
22030,5.0,Innere Stadt,226,493.0,4.3,5.420534999272286
22031,4.0,Innere Stadt,231,56.0,4.4,5.442417710521793
22032,4.0,Innere Stadt,116,247.0,4.4,4.7535901911063645
22033,3.0,Innere Stadt,76,169.0,3.7,4.330733340286331
22035,5.0,Innere Stadt,184,599.0,4.5,5.214935757608986
22036,5.0,Innere Stadt,384,258.0,4.8,5.950642552587727
22037,4.0,Innere Stadt,166,703.0,4.3,5.111987788356544
22038,5.0,Innere Stadt,187,230.0,4.1,5.231108616854587
22039,5.0,Innere Stadt,371,112.0,4.6,5.916202062607435
22040,4.0,Innere Stadt,156,278.0,4.4,5.049856007249537
22042,4.0,Innere Stadt,169,81.0,4.5,5.1298987149230735
22045,3.0,Innere Stadt,131,203.0,3.9,4.875197323201151
22046,4.0,Innere Stadt,168,150.0,4.6,5.123963979403259
22050,4.0,Innere Stadt,242,404.0,4.8,5.488937726156687
22051,4.0,Innere Stadt,223,123.0,3.5,5.407171771460119
22052,4.0,Innere Stadt,149,653.0,4.4,5.003946305945459
22054,4.0,Innere Stadt,114,388.0,4.0,4.736198448394496
